cluster,violations,frequency_score,is_peak_hour,peak_score,recurrence_score,growth_score,risk_score,risk_level,violation_density,priority_score,priority_rank
2,76482,100.0,0.208924975811302,20.8924975811302,100.0,0.4484304932735426,65.29038896927358,High,100.0,75.70327227849151,1
4,45179,59.07141549645668,0.1367892162287788,13.678921622877883,100.0,0.8968609865470852,47.18282575228421,Medium,59.07141549645668,50.74940267553595,2
3,32228,42.13801940325828,0.1156447809358321,11.56447809358322,100.0,1.345291479820628,39.94812100667222,Low,42.13801940325828,40.60509052564804,3
5,4253,5.56078554431108,0.5541970373853751,55.41970373853751,100.0,96.41255605381166,50.54112356043056,Medium,5.56078554431108,37.04702215559472,4
9,17784,23.25253000706049,0.1423189383715699,14.231893837156996,98.68421052631578,2.242152466367713,32.93215043733176,Low,23.252530007060486,30.028264308250375,5
46,6212,8.122172537329044,0.0589182227945911,5.891822279459111,90.78947368421052,98.65470852017935,37.67792559966541,Low,8.122172537329044,28.8111996809645,6
15,2119,2.7705865432389323,0.2387918829636621,23.87918829636621,87.5,100.0,39.578031691387125,Low,2.7705865432389323,28.535798146942668,7
19,2242,2.9314086974713005,0.5472792149866191,54.72792149866192,90.78947368421052,38.78923766816144,38.83082424072032,Low,2.9314086974713005,28.060999577745612,8
113,207,0.2706519180983761,0.6570048309178744,65.70048309178745,44.73684210526316,92.37668161434978,39.33725220339131,Low,0.27065191809837613,27.617272117803427,9
44,1094,1.430401924635862,0.3820840950639854,38.20840950639854,69.07894736842105,98.20627802690582,38.67099432417406,Low,1.4304019246358621,27.498816604312598,10
20,2114,2.764049057294527,0.4262062440870388,42.62062440870388,78.28947368421053,66.14349775784754,37.34019512561302,Low,2.764049057294527,26.96735130511747,11
83,844,1.103527627415601,0.8021327014218009,80.2132701421801,65.78947368421053,20.62780269058296,36.746793726940815,Low,1.103527627415601,26.053813897083252,12
42,906,1.1845924531262255,0.3719646799116998,37.19646799116998,61.18421052631579,97.30941704035877,36.60620864035996,Low,1.1845924531262257,25.979723784189837,13
70,1537,2.0096231793101644,0.1717631750162654,17.176317501626546,85.52631578947368,89.23766816143498,35.58884202924069,Low,2.0096231793101644,25.51507637426153,14
21,5057,6.612013284171439,0.3027486652165315,30.27486652165316,96.71052631578948,25.112107623318387,33.322443350737515,Low,6.612013284171439,25.30931433076769,15
45,977,1.27742475353678,0.2732855680655066,27.328556806550665,69.73684210526315,92.82511210762333,35.214244340248506,Low,1.27742475353678,25.033198464234985,16
81,961,1.256504798514683,0.2965660770031217,29.656607700312176,59.210526315789465,99.10313901345292,34.62432995965975,Low,1.256504798514683,24.613982411316226,17
146,311,0.4066316257420047,0.4823151125401929,48.231511254019296,44.73684210526316,91.03139013452916,34.82260740503363,Low,0.4066316257420047,24.49781467124614,18
204,63,0.0823723228995057,0.8095238095238095,80.95238095238095,3.947368421052632,88.34080717488789,34.31163892769875,Low,0.08237232289950577,24.042858946258974,19
59,2022,2.6437593159174706,0.2720079129574678,27.200791295746782,88.81578947368422,46.63677130044843,32.61637514010779,Low,2.6437593159174706,23.624590392850696,20
55,1021,1.334954629847546,0.1459353574926542,14.593535749265426,67.76315789473685,96.8609865470852,32.26414535026552,Low,1.3349546298475459,22.985388134140127,21
33,406,0.5308438586857038,0.1921182266009852,19.21182266009852,65.13157894736842,94.61883408071748,32.234434110080215,Low,0.5308438586857038,22.72335703466186,22
64,930,1.2159723856593707,0.4666666666666667,46.66666666666666,85.52631578947368,12.556053811659194,31.141726850574027,Low,1.2159723856593707,22.16400051109963,23
63,1250,1.6343714861013048,0.108,10.8,84.86842105263158,70.85201793721974,30.9552354955498,Low,1.6343714861013048,22.158976292715252,24
37,1741,2.276352605841897,0.2303273980470993,23.032739804709937,92.76315789473684,35.65022421524663,30.56889120474861,Low,2.2763526058418972,22.081129625076596,25
26,5448,7.123244685023927,0.1551027900146843,15.51027900146843,99.3421052631579,2.690582959641256,26.998876120954453,Low,7.123244685023927,21.036186690175292,26
60,1844,2.411024816296645,0.3693058568329718,36.93058568329718,87.5,7.623318385650224,28.84055410519049,Low,2.4110248162966452,20.911695318522337,27
77,138,0.180434612065584,0.3840579710144927,38.40579710144928,32.23684210526316,88.78923766816143,29.4393771914654,Low,0.18043461206558406,20.661694417645453,28
101,546,0.7138934651290499,0.1978021978021978,19.78021978021978,46.05263157894737,97.75784753363229,29.10481577694088,Low,0.7138934651290499,20.58753908339733,29
167,165,0.2157370361653722,0.3151515151515151,31.515151515151512,45.39473684210527,80.71748878923766,29.15165338006073,Low,0.21573703616537226,20.47087847689212,30
48,690,0.9021730603279204,0.1115942028985507,11.159420289855072,78.28947368421053,66.14349775784754,28.730143697114173,Low,0.9021730603279203,20.381752506078296,31
215,67,0.0876023116550299,0.5223880597014925,52.23880597014925,13.157894736842104,86.54708520179372,28.708384144836803,Low,0.08760231165502995,20.12214959488227,32
13,4428,5.789597552365263,0.1492773261065944,14.927732610659438,98.68421052631578,3.1390134529147984,26.255466296811345,Low,5.7895975523652625,20.11570567347752,33
104,579,0.7570408723621245,0.2072538860103626,20.72538860103627,42.10526315789473,95.51569506726456,28.232570390872556,Low,0.7570408723621245,19.989911535319425,34
69,1305,1.706283831489762,0.296551724137931,29.655172413793103,90.78947368421052,10.31390134529148,27.80128657468001,Low,1.7062838314897621,19.972785751722935,35
196,105,0.1372872048325096,0.7428571428571429,74.28571428571429,12.5,48.4304932735426,28.39091744439297,Low,0.1372872048325096,19.91482837252483,36
6,2111,2.760126565727884,0.3060161061108479,30.601610611084794,89.47368421052632,4.035874439461884,27.254571287086897,Low,2.7601265657278837,19.906237870679192,37
